45000000000,46000000000,40749595,289829,40459766,45000004607,45999991361,2630e9f0f2d7f402,8924103,1987,45950790982,33781,45000000079,9,45000125003,595,45000004607,45999991361,1.17
46000000000,47000000000,40711114,288694,40422420,46000009513,46999999523,7ba03b85fe8a9cf3,8958514,2251,46517928298,33912,46000000031,9,46000012703,325,46000009513,46999999523,1.13
47000000000,48000000000,40675023,287816,40387207,47000005909,47999999713,7c95254a8d5b15f3,9000015,2039,47615574428,33873,47000000017,9,47000130511,275,47000005909,47999999713,1.17
48000000000,49000000000,40641065,285694,40355371,48000000619,48999999703,773189c742a9f1cd,9028498,2039,48175256852,34094,48000000001,9,48000020063,301,48000000619,48999999703,1.17
49000000000,50000000000,40609038,284529,40324509,49000005493,49999998497,cb3c1719e9e2123c,9047268,1997,49779787196,33585,49000000001,9,49000104553,405,49000005493,49999998497,1.13
50000000000,51000000000,40575830,284559,40291271,50000000429,50999991503,079c0e7c7910c6b6,9083733,1999,50419344298,33646,50000000021,9,50000230879,267,50000000429,50999991503,1.13
51000000000,52000000000,40547028,281542,40265486,51000001519,51999999487,bc20055a7ce5d389,9107378,2017,51920439664,33475,51000000041,9,51000059933,301,51000001519,51999999487,1.13
52000000000,53000000000,40509244,279949,40229295,52000005401,52999999937,308b88285f84a1de,9146381,2111,52163106482,33661,52000000009,9,52000008169,327,52000005401,52999999937,1.16
53000000000,54000000000,40483597,278691,40204906,53000001211,53999999957,74a1f38d64064542,9170720,2017,53176146244,33557,53000000101,9,53000008559,301,53000001211,53999999957,1.13
54000000000,55000000000,40452835,279227,40173608,54000002237,54999989819,34476dc94aee1156,9199164,2089,54619934752,33265,54000000023,9,54000008983,335,54000002237,54999989819,1.12
55000000000,56000000000,40419653,276246,40143407,55000004263,55999989211,236b3b7bb9f14e33,9239144,2081,55650519368,33914,55000000001,9,55000051663,495,55000004263,55999989211,1.15
56000000000,57000000000,40392162,275257,40116905,56000000741,56999999213,c36157570907791e,9259967,2239,56899812448,33492,56000000011,9,56000020171,299,56000000741,56999999213,1.14
58000000000,59000000000,40332795,273805,40058990,58000010333,58999996217,29d82d11795462f8,9311646,1913,58184200874,33198,58000000007,9,58000078861,519,58000010333,58999996217,1.16
57000000000,58000000000,40361469,275219,40086250,57000014761,57999995411,100e40eeba684fea,9272893,2203,57081791686,33414,57000000011,9,57000048571,357,57000014761,57999995411,1.17
59000000000,60000000000,40308964,272235,40036729,59000010197,59999994533,5b8491b6be5f5ca4,9329063,1889,59168905802,33117,59000000023,9,59000078329,407,59000010197,59999994533,1.13
61000000000,62000000000,40251929,270178,39981751,61000000931,61999999133,be738c82ca5bcb9f,9382721,2269,61596348004,33106,61000000001,9,61000016507,771,61000000931,61999999133,1.18
60000000000,61000000000,40281387,270326,40011061,60000010163,60999998771,2dbbe0d1abed8739,9360285,2287,60267472366,33305,60000000029,9,60000025703,627,60000010163,60999998771,1.18
62000000000,63000000000,40228286,268580,39959706,62000001467,62999999617,f77edee4643b2931,9410394,2027,62555320874,33533,62000000009,9,62000036773,417,62000001467,62999999617,1.20
65000000000,66000000000,40151113,265468,39885645,65000004353,65999997143,96df57e3405c305f,9487529,2063,65066115188,33170,65000000017,9,65000057123,259,65000004353,65999997143,1.12
63000000000,64000000000,40200844,267482,39933362,63000002941,63999998611,034ddfea44976593,9432103,2063,63593795966,33288,63000000013,9,63000015317,301,63000002941,63999998611,1.17
64000000000,65000000000,40176042,265657,39910385,64000006801,64999998803,9481e8fbcc45a93a,9448635,2113,64928373856,32810,64000000013,9,64000040803,429,64000006801,64999998803,1.24
66000000000,67000000000,40126676,264434,39862242,66000000761,66999995837,525e1f3c15324d4b,9510181,1931,66734098826,32806,66000000013,9,66000060787,369,66000000761,66999995837,1.18
67000000000,68000000000,40103781,263794,39839987,67000002197,67999995619,d96f6df23093bdc3,9527652,2287,67202984374,33021,67000000003,9,67000021369,267,67000002197,67999995619,1.19
68000000000,69000000000,40083140,262406,39820734,68000004901,68999997893,f780d1aa935ce98d,9559055,2239,68185955182,33093,68000000021,9,68000006863,261,68000004901,68999997893,1.18
69000000000,70000000000,40058186,261162,39797024,69000005423,69999999661,6fd006dba09b981f,9575870,1901,69328690052,32976,69000000059,9,69000034007,451,69000005423,69999999661,1.16
70000000000,71000000000,40031060,260585,39770475,70000001053,70999998911,b47d0b2f2185e244,9598951,2281,70865077762,32895,70000000033,9,70000007681,355,70000001053,70999998911,1.16
71000000000,72000000000,40010247,258995,39751252,71000000381,71999998549,efc38c4d6a9c5a04,9616145,2179,71304622798,32896,71000000041,9,71000043979,371,71000000381,71999998549,1.19
73000000000,74000000000,39964230,257828,39706402,73000005103,73999995857,6fc9c3de0c4e0d1f,9670312,2251,73358114926,32741,73000000019,9,73000061759,777,73000005103,73999995857,1.15
72000000000,73000000000,39989890,258782,39731108,72000003349,72999999913,c33db96fa9111191,9639405,2029,72776601532,32961,72000000011,9,72000045283,471,72000003349,72999999913,1.18
74000000000,75000000000,39946511,257577,39688934,74000001371,74999999233,8e2dd7f5b57f5144,9682193,2063,74942321924,33254,74000000003,9,74000109581,289,74000001371,74999999233,1.12
75000000000,76000000000,39926594,257518,39669076,75000009529,75999993683,7b87fd2ae239fc13,9708103,2131,75946694686,32554,75000000001,9,75000057163,341,75000009529,75999993683,1.17
76000000000,77000000000,39906295,255201,39651094,76000017287,76999997827,ad7d5d85ad014f5c,9719348,1879,76109772118,33129,76000000003,9,76000003631,555,76000017287,76999997827,1.19
77000000000,78000000000,39879152,255723,39623429,77000012671,77999999513,d4ee0120005d2424,9741689,1871,77335770548,32180,77000000023,9,77000029657,273,77000012671,77999999513,1.19
78000000000,79000000000,39865378,254995,39610383,78000000343,78999995611,5b4c07534fbfff0c,9777303,2029,78923732044,32988,78000000007,9,78000048673,335,78000000343,78999995611,1.19
79000000000,80000000000,39840350,253956,39586394,79000005109,79999998739,bf2712f2d30be64f,9786428,2153,79649763554,32373,79000000063,9,79000150771,267,79000005109,79999998739,1.20
80000000000,81000000000,39821000,253139,39567861,80000002921,80999995651,16ea8f56ba035cbe,9812422,2207,80257682114,32643,80000000021,9,80000061863,339,80000002921,80999995651,1.20
81000000000,82000000000,39803203,252267,39550936,81000002651,81999994543,255cbfc29a7b5140,9816854,2089,81976922392,32964,81000000047,9,81000011051,259,81000002651,81999994543,1.16
82000000000,83000000000,39784260,250508,39533752,82000000171,82999998649,b0e1ac45a7769b9f,9837911,2089,82010368708,32735,82000000001,9,82000018363,321,82000000171,82999998649,1.20
83000000000,84000000000,39765158,250502,39514656,83000012023,83999996491,2458122cebc6a4bf,9858082,2029,83665790458,32384,83000000021,9,83000018693,481,83000012023,83999996491,1.23
84000000000,85000000000,39746136,249028,39497108,84000000247,84999997373,e3853ce0de94a895,9882473,2251,84701814328,32526,84000000011,9,84000016819,267,84000000247,84999997373,1.19
